hospital,patient_count,total_billing,average_billing,average_age,average_length_of_stay,hospital_rank
Garcia Inc,12,321162.6765890079,26763.556382417326,54.5,16.666666666666668,26
Garcia PLC,12,428346.5977404602,35695.549811705016,44.333333333333336,15.5,26
Group Anderson,12,315951.08429922885,26329.257024935738,62.25,13.25,26
Group Rodriguez,12,358200.4700979971,29850.03917483309,42.25,11.0,26
Hernandez PLC,12,305878.35851112765,25489.86320926064,39.083333333333336,13.0,26
Inc Garcia,12,379463.6620861438,31621.971840511982,53.75,17.583333333333332,26
Jones Sons and,12,374460.17916481674,31205.014930401394,47.333333333333336,15.166666666666666,26
LLC Martinez,12,277035.3838822534,23086.28199018778,46.833333333333336,10.666666666666666,26
Ltd Jackson,12,349808.845692947,29150.737141078916,45.416666666666664,15.333333333333334,26
Ltd Martin,12,313693.2693456661,26141.105778805508,51.416666666666664,16.0,26
Ltd Wright,12,319735.4613999851,26644.621783332095,62.083333333333336,17.416666666666668,26
Martin Group,12,343342.9421711976,28611.9118475998,57.25,16.25,26
PLC Anderson,12,244995.38783472934,20416.282319560778,57.166666666666664,12.166666666666666,26
Phillips Ltd,12,241289.6608727035,20107.47173939196,50.666666666666664,13.833333333333334,26
Robinson Inc,12,225225.06045079877,18768.755037566563,53.666666666666664,10.666666666666666,26
Rodriguez Group,12,384997.77350950096,32083.147792458414,44.583333333333336,14.916666666666666,26
Stone Ltd,12,382699.44307876716,31891.62025656393,65.08333333333333,11.583333333333334,26
Wilson Ltd,12,309470.03294162493,25789.16941180208,57.333333333333336,14.083333333333334,26
Garcia LLC,11,272026.80191120016,24729.70926465456,49.72727272727273,14.363636363636363,27
Group Lewis,11,266652.82360724756,24241.165782477052,55.45454545454545,13.727272727272727,27
Group Lopez,11,240343.78023130994,21849.434566482723,65.0,13.636363636363637,27
Harris Group,11,336450.8851396285,30586.44410360259,62.72727272727273,13.909090909090908,27
Inc Moore,11,366622.4460831172,33329.313280283386,53.27272727272727,13.090909090909092,27
Inc Wright,11,219492.05225844108,19953.822932585554,53.36363636363637,11.545454545454545,27
James Ltd,11,207631.34518166716,18875.576834697014,58.54545454545455,16.363636363636363,27
LLC Taylor,11,274067.72560952435,24915.247782684033,47.45454545454545,16.09090909090909,27
LLC Wilson,11,343097.8409473486,31190.71281339533,45.0,19.0,27
Lee PLC,11,287729.2871282672,26157.207920751567,58.0,13.727272727272727,27
Lopez Group,11,344642.67584905704,31331.152349914275,59.09090909090909,16.181818181818183,27
Ltd Anderson,11,287087.86513307807,26098.896830279824,46.81818181818182,15.636363636363637,27
Ltd Clark,11,311366.4526624376,28306.04115113069,44.09090909090909,18.0,27
Ltd Lewis,11,323197.71450814256,29381.61040983114,49.27272727272727,15.818181818181818,27
Ltd Thompson,11,328165.313823707,29833.210347609725,40.45454545454545,17.454545454545453,27
Martin PLC,11,337754.62765021226,30704.966150019296,64.45454545454545,16.727272727272727,27
Moore PLC,11,267966.33503999613,24360.575912726923,54.81818181818182,15.727272727272727,27
PLC Garcia,11,272529.3944812112,24775.39949829193,60.0,23.545454545454547,27
PLC Lopez,11,213699.05813712973,19427.18710337543,59.63636363636363,16.727272727272727,27
Phillips LLC,11,269232.8883204124,24475.717120037494,56.90909090909091,18.09090909090909,27
Sons Smith and,11,185883.61220221792,16898.51020020163,49.27272727272727,11.909090909090908,27
Thompson Ltd,11,326032.298986604,29639.29990787309,54.27272727272727,16.09090909090909,27
Thompson PLC,11,323500.3143053443,29409.119482304028,54.63636363636363,14.545454545454545,27
Gonzalez Inc,10,203755.0601534003,20375.50601534003,45.7,16.2,28
Group Clark,10,236966.1420569477,23696.61420569477,52.1,22.5,28
Group Gonzalez,10,197706.0792532749,19770.607925327487,50.0,17.9,28
Group Martinez,10,391898.322636796,39189.8322636796,59.0,10.3,28
Group Walker,10,211225.39844366314,21122.539844366314,47.8,18.3,28
Inc Anderson,10,383145.4747799473,38314.54747799473,45.3,14.4,28
Inc Martin,10,308718.9168260516,30871.89168260516,43.1,9.4,28
Inc Martinez,10,185642.41156916012,18564.24115691601,56.6,12.8,28
Inc Perez,10,229950.59837788722,22995.05983778872,50.6,13.0,28
Inc Robinson,10,273813.4128817707,27381.34128817707,53.8,13.8,28
King Ltd,10,316057.9819578962,31605.79819578962,51.4,16.1,28
LLC Anderson,10,218720.5598970278,21872.055989702778,49.9,12.0,28
LLC Hernandez,10,240026.37872945282,24002.63787294528,50.8,21.1,28
LLC Lopez,10,244568.14542915783,24456.81454291578,59.2,13.1,28
LLC Miller,10,125881.9806558145,12588.198065581451,49.4,12.7,28
Lewis Ltd,10,289690.2364901394,28969.02364901394,61.6,16.1,28
Ltd Davis,10,343067.4950676409,34306.74950676409,44.7,11.8,28
Ltd Lee,10,295302.3197981482,29530.231979814816,44.2,14.6,28
Ltd Lopez,10,261607.02471900437,26160.702471900437,58.1,18.1,28
Ltd Martinez,10,320536.9959279273,32053.69959279273,49.9,20.5,28
Ltd Moore,10,178449.23952331388,17844.923952331388,41.7,12.5,28
Martin LLC,10,241667.93489026,24166.793489026,53.1,19.7,28
Martinez Ltd,10,231347.5307461747,23134.75307461747,41.2,12.4,28
Mitchell Inc,10,203814.52379855147,20381.452379855145,60.9,16.4,28
Murphy Inc,10,215348.04999862245,21534.804999862245,51.1,17.3,28
PLC Green,10,310361.9853395762,31036.19853395762,50.9,9.9,28
PLC Harris,10,279418.29736058874,27941.829736058873,41.1,16.0,28
PLC Jackson,10,361769.7089398946,36176.97089398946,46.8,7.5,28
PLC Moore,10,292314.42725058534,29231.442725058536,47.8,11.8,28
PLC Wright,10,236570.67498421378,23657.067498421377,54.9,17.5,28
Sanchez Group,10,279776.98857662897,27977.698857662897,54.7,14.3,28
Smith Sons and,10,287142.70065146,28714.270065145996,59.2,11.4,28
Thomas Inc,10,301555.7091135191,30155.57091135191,44.2,15.1,28
White Group,10,193545.93889158338,19354.59388915834,51.6,20.1,28
Allen Group,9,264039.7374811681,29337.74860901868,51.44444444444444,15.11111111111111,29
Carter Group,9,144640.9434595112,16071.21593994569,40.77777777777778,12.0,29
Cook Group,9,261033.97528108174,29003.775031231304,52.0,11.88888888888889,29
Gilbert Ltd,9,275509.98130328313,30612.22014480924,40.44444444444444,16.333333333333332,29
Gonzalez LLC,9,193874.6745485531,21541.630505394787,49.111111111111114,12.777777777777779,29
Green Inc,9,174540.3935100324,19393.377056670266,39.22222222222222,12.666666666666666,29
Group Cook,9,293505.69833781663,32611.744259757405,57.0,12.0,29
Group Green,9,223952.47338823625,24883.60815424847,52.22222222222222,13.444444444444445,29
Group Nelson,9,147801.167659029,16422.35196211433,44.333333333333336,10.444444444444445,29
Group Thompson,9,193750.7019760026,21527.8557751114,60.0,15.88888888888889,29
Hall LLC,9,252886.79162214586,28098.532402460653,41.44444444444444,13.88888888888889,29
Inc Clark,9,293723.6707436979,32635.963415966435,43.0,13.0,29
Inc Roberts,9,208311.3788900513,23145.708765561256,56.22222222222222,20.22222222222222,29
Inc Thomas,9,195620.367189278,21735.596354364225,49.77777777777778,16.11111111111111,29
Inc Wilson,9,170571.76610945942,18952.418456606603,57.22222222222222,11.666666666666666,29
Jackson Inc,9,288102.4332118146,32011.3814679794,32.333333333333336,13.11111111111111,29
Jackson LLC,9,133992.16536185754,14888.018373539726,55.0,16.11111111111111,29
Jackson Ltd,9,201461.8703027699,22384.652255863322,45.22222222222222,12.11111111111111,29
Jackson PLC,9,214896.63511110112,23877.403901233458,66.22222222222223,14.333333333333334,29
LLC Flores,9,238848.88911651768,26538.76545739085,50.666666666666664,13.666666666666666,29
LLC King,9,208028.69832416222,23114.299813795802,47.77777777777778,12.0,29
LLC Martin,9,209101.76266214682,23233.52918468298,56.888888888888886,15.11111111111111,29
LLC Perez,9,256097.24577854478,28455.24953094942,69.55555555555556,14.666666666666666,29
LLC White,9,190087.84072895447,21120.871192106053,63.111111111111114,15.666666666666666,29
Lee Group,9,191859.9725015898,21317.774722398866,47.22222222222222,17.555555555555557,29
Lee LLC,9,231962.7772302033,25773.641914467033,51.111111111111114,16.22222222222222,29
Lopez Inc,9,200488.12375854794,22276.458195394214,46.0,15.333333333333334,29
Lopez LLC,9,211914.75599486235,23546.08399942915,52.0,19.0,29
Ltd Hall,9,221379.24291099934,24597.693656777705,50.111111111111114,14.444444444444445,29
Ltd Harris,9,193336.43284697336,21481.82587188593,48.77777777777778,14.11111111111111,29
Ltd Nelson,9,229846.42308125173,25538.491453472416,49.22222222222222,6.444444444444445,29
Ltd Porter,9,223367.67527496995,24818.63058610777,60.0,16.0,29
Ltd Taylor,9,272282.3197732706,30253.591085918953,58.333333333333336,20.444444444444443,29
Ltd Thomas,9,225830.9665914821,25092.32962127579,38.77777777777778,21.444444444444443,29
Martin Ltd,9,197594.37681856772,21954.930757618637,59.0,17.88888888888889,29
Martinez PLC,9,224308.2681570091,24923.140906334345,50.111111111111114,12.333333333333334,29
Moore Group,9,149066.4733661234,16562.941485124822,45.55555555555556,13.11111111111111,29
PLC Adams,9,157986.379788614,17554.04219873489,51.333333333333336,20.666666666666668,29
PLC Hill,9,126676.26006698361,14075.140007442624,45.55555555555556,8.444444444444445,29
PLC White,9,206443.15750851488,22938.128612057208,52.77777777777778,17.444444444444443,29
PLC Wilson,9,311655.60931834934,34628.401035372146,50.333333333333336,20.555555555555557,29
Perez Group,9,231692.82840206774,25743.64760022975,46.333333333333336,16.22222222222222,29
Ramirez PLC,9,236812.20969463093,26312.467743847883,45.666666666666664,17.333333333333332,29
Robinson Group,9,188688.52251650428,20965.391390722696,53.55555555555556,17.333333333333332,29
Smith and Sons,9,156580.14026205998,17397.79336245111,55.888888888888886,16.666666666666668,29
Sons Brown and,9,126024.78841529932,14002.75426836659,46.666666666666664,14.0,29
Sons Miller and,9,248495.75532320156,27610.63948035573,47.44444444444444,16.77777777777778,29
Sons and Smith,9,240232.771085554,26692.530120617113,52.22222222222222,15.777777777777779,29
Taylor Inc,9,160039.46241257858,17782.162490286508,49.333333333333336,17.444444444444443,29
Thompson Group,9,147973.07638215736,16441.452931350817,59.44444444444444,14.88888888888889,29
Turner Group,9,310753.969388832,34528.21882098133,52.55555555555556,13.444444444444445,29
Walker Ltd,9,226628.07442824292,25180.897158693657,52.888888888888886,8.88888888888889,29
Walker PLC,9,271403.5745449778,30155.952727219756,46.888888888888886,13.11111111111111,29
Ward PLC,9,302465.16018737236,33607.240020819154,51.55555555555556,17.11111111111111,29
Wilson Inc,9,177514.06343727495,19723.784826363884,47.111111111111114,14.11111111111111,29
Young Ltd,9,144184.4880404896,16020.498671165513,46.111111111111114,13.88888888888889,29
and Jones Sons,9,218466.38253374732,24274.042503749704,48.333333333333336,14.0,29
and Sons Johnson,9,194383.7958428883,21598.1995380987,62.44444444444444,22.666666666666668,29
Adams Group,8,219432.9162908826,27429.114536360325,59.125,17.125,30
Adams LLC,8,195377.434803267,24422.179350408376,63.625,16.125,30
Allen Inc,8,207938.66559158426,25992.333198948032,55.125,18.375,30
Allen Ltd,8,222594.21113205506,27824.276391506883,65.375,17.375,30
Allen PLC,8,185853.44418246477,23231.680522808096,56.0,13.75,30
Alvarez Ltd,8,288298.5511576293,36037.31889470366,67.625,15.375,30
Clark Inc,8,172959.19656466105,21619.89957058263,56.75,16.5,30
Clark Ltd,8,216209.76655744077,27026.220819680097,62.625,11.875,30
Cook Ltd,8,179634.8673077549,22454.358413469363,52.875,10.75,30
Davis LLC,8,187929.6272694521,23491.20340868151,53.5,17.0,30
Gibson LLC,8,194209.91094794337,24276.23886849292,56.375,18.875,30
Gonzalez Group,8,227418.80022320864,28427.35002790108,40.375,10.125,30
Gonzalez Ltd,8,231381.95101364717,28922.743876705896,57.75,19.25,30
Group Harris,8,204236.81311170224,25529.60163896278,45.625,21.0,30
Group Wright,8,194399.93902769548,24299.992378461935,46.5,14.875,30
Hall Group,8,247201.21558231176,30900.15194778897,65.5,12.5,30
Hall PLC,8,192380.61451718275,24047.576814647844,64.125,14.625,30
Harris Inc,8,174984.28315022108,21873.035393777634,40.875,15.5,30
Harris LLC,8,284778.54173084884,35597.317716356105,65.875,17.875,30
Harris PLC,8,230206.2087882434,28775.776098530427,48.0,17.125,30
Hill Group,8,209414.24813928964,26176.781017411206,50.625,16.5,30
Inc Carter,8,241641.82472905327,30205.22809113166,52.125,14.0,30
Inc Evans,8,194800.50819115847,24350.06352389481,48.125,21.25,30
Inc Scott,8,271457.20817028516,33932.151021285645,46.375,15.125,30
Jackson Group,8,179887.93361178308,22485.991701472885,50.625,14.875,30
Johnson-Johnson,8,153925.10388794343,19240.63798599293,39.0,12.125,30
Johnson-Smith,8,183259.42919694624,22907.42864961828,48.25,14.0,30
LLC Allen,8,201153.56032273028,25144.195040341285,54.625,16.75,30
LLC Harris,8,275387.7565728669,34423.469571608366,64.125,14.375,30
LLC Hill,8,181505.0332343299,22688.129154291237,44.5,20.0,30
LLC Jackson,8,182171.63032041953,22771.45379005244,39.75,15.5,30
LLC Thompson,8,173720.78555621626,21715.098194527032,56.375,18.25,30
Lee Ltd,8,191157.61308684715,23894.701635855894,48.125,16.25,30
Lee Sons and,8,216221.7879893283,27027.723498666037,55.625,12.625,30
Ltd Campbell,8,263590.55371070077,32948.819213837596,47.75,19.0,30
Ltd Myers,8,276694.4987556697,34586.81234445871,53.875,18.5,30
Moore Ltd,8,262305.0551510969,32788.13189388711,51.375,10.375,30
Nelson PLC,8,179399.899289602,22424.98741120025,40.375,17.5,30
PLC Allen,8,194092.88948742085,24261.611185927606,48.25,15.25,30
PLC Bell,8,212587.06686098693,26573.383357623366,39.625,13.875,30
PLC Carter,8,187333.93401142518,23416.741751428148,51.125,17.625,30
PLC Cook,8,216155.76722736354,27019.470903420442,49.125,14.25,30
PLC Reyes,8,161278.7367405694,20159.842092571176,48.25,9.625,30
PLC Ross,8,285880.2237054665,35735.02796318331,49.875,17.25,30
PLC Taylor,8,224028.6339999333,28003.579249991664,49.875,15.125,30
Patel LLC,8,227089.95899221956,28386.244874027445,45.875,15.25,30
Reyes PLC,8,130620.49968620413,16327.562460775516,46.25,17.125,30
Roberts Ltd,8,161738.60143952546,20217.325179940683,50.0,16.75,30
Rodriguez and Sons,8,161967.6982825773,20245.962285322163,56.0,16.25,30
Sanchez Inc,8,228994.42802415096,28624.30350301887,56.375,12.125,30
Shaw LLC,8,312905.5718997813,39113.19648747266,59.75,12.625,30
Simmons LLC,8,240245.5931686661,30030.69914608326,57.625,15.125,30
Sons Johnson and,8,246422.6728147201,30802.834101840013,55.25,17.75,30
Sons Thomas and,8,200888.40786201545,25111.05098275193,51.5,13.5,30
Sons and Taylor,8,212865.29949300233,26608.16243662529,49.625,18.75,30
Taylor PLC,8,233178.14482229186,29147.268102786482,50.75,17.125,30
Wallace LLC,8,193880.8016535465,24235.100206693314,59.375,17.0,30
White and Sons,8,272038.45462832996,34004.806828541245,49.0,14.75,30
and Johnson Sons,8,182141.67986389576,22767.70998298697,56.125,15.75,30
and Martinez Sons,8,153710.04046850975,19213.75505856372,48.125,19.25,30
and Smith Sons,8,161725.20357814786,20215.650447268483,59.25,11.625,30
Anderson Ltd,7,140469.5235834235,20067.07479763193,48.285714285714285,14.0,31
Anderson and Sons,7,161590.04184895518,23084.291692707884,38.285714285714285,12.285714285714286,31
Bailey Inc,7,179641.4729367326,25663.067562390373,44.0,18.0,31
Baker PLC,7,143813.38045956983,20544.768637081404,42.42857142857143,14.857142857142858,31
Brown-Smith,7,183654.24717768005,26236.321025382866,38.0,17.428571428571427,31
Coleman Group,7,229075.7692240892,32725.1098891556,47.42857142857143,25.0,31
Cook Inc,7,221848.16469218367,31692.594956026238,58.142857142857146,13.428571428571429,31
Cruz Inc,7,232544.13302478468,33220.5904321121,34.714285714285715,13.285714285714286,31
Garcia Ltd,7,177133.20160934166,25304.74308704881,48.714285714285715,15.714285714285714,31
Garza Group,7,234641.06621108885,33520.15231586983,46.42857142857143,21.571428571428573,31
Gomez Inc,7,179661.1717517028,25665.881678814683,54.285714285714285,23.714285714285715,31
Graham Ltd,7,231163.72627249185,33023.38946749883,55.57142857142857,13.857142857142858,31
Green LLC,7,153203.55584582785,21886.222263689695,41.142857142857146,12.428571428571429,31
Griffin PLC,7,161630.531109181,23090.075872740144,48.285714285714285,17.285714285714285,31
Group Allen,7,138322.62678219704,19760.375254599578,62.0,17.857142857142858,31
Group Bennett,7,170219.18251557226,24317.02607365318,57.714285714285715,12.285714285714286,31
Group Hunt,7,120507.35755694343,17215.336793849063,56.42857142857143,8.0,31
Group Martin,7,180858.45980429818,25836.922829185456,54.857142857142854,18.142857142857142,31
Group Reed,7,174936.79778584314,24990.971112263305,53.0,18.571428571428573,31
Group Scott,7,184902.34971887135,26414.621388410193,55.42857142857143,10.857142857142858,31
Group Simpson,7,195540.5276215388,27934.361088791255,49.42857142857143,17.285714285714285,31
Group Stewart,7,204263.95385376568,29180.56483625224,49.0,15.285714285714286,31
Group Sullivan,7,178934.16680981783,25562.023829973976,46.42857142857143,15.142857142857142,31
Group Taylor,7,162485.800493521,23212.257213360142,63.0,19.285714285714285,31
Group Wilson,7,254647.37321501705,36378.196173573866,44.857142857142854,16.571428571428573,31
Group Young,7,213287.07897331475,30469.582710473536,55.42857142857143,22.285714285714285,31
Gutierrez Inc,7,103443.57210075573,14777.65315725082,40.0,13.428571428571429,31
Henderson LLC,7,128644.65983682296,18377.808548117566,46.0,11.285714285714286,31
Hernandez Inc,7,158184.52562311533,22597.78937473076,35.714285714285715,13.0,31
Hill PLC,7,147045.34885658673,21006.478408083818,56.0,15.714285714285714,31
Inc Adams,7,208105.7945326232,29729.39921894617,47.57142857142857,14.142857142857142,31
